Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,184.07,184.69,183.93,184.69,86119900,183.00
2013-12-30,183.87,184.02,183.58,183.82,56857000,182.14
2013-12-27,184.10,184.18,183.66,183.85,61814000,182.17
2013-12-26,183.34,183.96,183.32,183.86,63365000,182.18
2013-12-24,182.54,183.01,182.53,182.93,45368800,181.26
2013-12-23,182.45,182.64,182.07,182.53,85598000,180.86
2013-12-20,180.69,181.99,180.57,181.56,197087000,179.90
2013-12-19,181.18,181.70,180.71,181.49,136531200,178.86
2013-12-18,178.92,181.73,177.32,181.70,234906000,179.07
2013-12-17,179.38,179.41,178.25,178.65,89886000,176.06
